CREATE		
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_1009"
CREATE		
LAST	Lde	"Pier Paolo Pasolini"
LAST	Len	"Pier Paolo Pasolini"
LAST	Lfr	"Pier Paolo Pasolini"
LAST	Les	"Pier Paolo Pasolini"
LAST	Dde	"italienischer Filmregisseur, Publizist und Dichter"
LAST	Den	"Italian film director, poet, writer and intellectual (1922-1975)"
LAST	Des	"escritor, poeta y director de cine italiano"
LAST	Dfr	"écrivain, poète, journaliste, scénariste et réalisateur italien"
LAST	Sdewiki	"Pier Paolo Pasolini"
LAST	Senwiki	"Pier Paolo Pasolini"
LAST	Sfrwiki	"Pier Paolo Pasolini"
LAST	Seswiki	"Pier Paolo Pasolini"
LAST	Swikidatawiki	"Q25120"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"118591908"
LAST	P728	"book_author_101"
CREATE		
LAST	Lde	"Silvia Zardo"
LAST	Len	"Silvia Zardo"
LAST	Lfr	"Silvia Zardo"
LAST	Les	"Silvia Zardo"
LAST	Dde	"Autor*in"
LAST	Den	"author"
LAST	Des	"autor"
LAST	Dfr	"auteur"
LAST	P2	Q7
LAST	P154	Q17
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P728	"book_author_1010"
CREATE		
LAST	Lde	"Paul Sethe"
LAST	Len	"Paul Sethe"
LAST	Lfr	"Paul Sethe"
LAST	Les	"Paul Sethe"
LAST	Dde	"deutscher Publizist, Journalist und Geisteswissenschaftler"
LAST	Den	"German writer and journalist (1901–1967)"
LAST	Des	"periodista alemán"
LAST	Dfr	"journaliste allemand"
LAST	Sdewiki	"Paul Sethe"
LAST	Senwiki	"Paul Sethe"
LAST	Swikidatawiki	"Q106382"
LAST	P2	Q7
LAST	P154	Q18
LAST	P165	Q23190
LAST	P97	Q400013
LAST	P131	Q400012
LAST	P622	"119038382"
LAST	P728	"book_author_1012"
CREATE		
LAST	Lde	"Claire Morgan"
LAST	Len	"Claire Morgan"
